 'tryton/binutils/2.34' load complete.
 'tryton/compiler/gcc/7.4' load complete.
 'tryton/python3/3.5.6' load complete.

Loading tryton/python3/3.5.6
  Loading requirement: tryton/binutils/2.34 tryton/compiler/gcc/7.4
iter.      J_T    ∫gₐ(t)dt          J       ΔJ_T         ΔJ  secs
0     1.00e+00    0.00e+00   1.00e+00        n/a        n/a     6
1     1.00e+00    1.56e-11   1.00e+00  -3.13e-11  -1.57e-11    13
2     1.00e+00    1.58e-11   1.00e+00  -3.17e-11  -1.59e-11    12
3     1.00e+00    1.60e-11   1.00e+00  -3.21e-11  -1.61e-11    13
4     1.00e+00    1.62e-11   1.00e+00  -3.26e-11  -1.63e-11    12
5     1.00e+00    1.64e-11   1.00e+00  -3.30e-11  -1.65e-11    13
6     1.00e+00    1.67e-11   1.00e+00  -3.34e-11  -1.68e-11    12
7     1.00e+00    1.69e-11   1.00e+00  -3.39e-11  -1.70e-11    13
8     1.00e+00    1.71e-11   1.00e+00  -3.43e-11  -1.72e-11    12
9     1.00e+00    1.73e-11   1.00e+00  -3.48e-11  -1.74e-11    13
10    1.00e+00    1.76e-11   1.00e+00  -3.52e-11  -1.77e-11    12
11    1.00e+00    1.78e-11   1.00e+00  -3.57e-11  -1.79e-11    13
12    1.00e+00    1.80e-11   1.00e+00  -3.62e-11  -1.82e-11    12
13    1.00e+00    1.83e-11   1.00e+00  -3.67e-11  -1.84e-11    13
14    1.00e+00    1.85e-11   1.00e+00  -3.72e-11  -1.86e-11    12
15    1.00e+00    1.88e-11   1.00e+00  -3.77e-11  -1.89e-11    13
16    1.00e+00    1.90e-11   1.00e+00  -3.82e-11  -1.91e-11    13
17    1.00e+00    1.93e-11   1.00e+00  -3.87e-11  -1.94e-11    13
18    1.00e+00    1.95e-11   1.00e+00  -3.92e-11  -1.97e-11    12
19    1.00e+00    1.98e-11   1.00e+00  -3.97e-11  -1.99e-11    13
20    1.00e+00    2.01e-11   1.00e+00  -4.02e-11  -2.02e-11    12
21    1.00e+00    2.03e-11   1.00e+00  -4.08e-11  -2.04e-11    13
22    1.00e+00    2.06e-11   1.00e+00  -4.13e-11  -2.07e-11    12
23    1.00e+00    2.09e-11   1.00e+00  -4.19e-11  -2.10e-11    13
24    1.00e+00    2.11e-11   1.00e+00  -4.24e-11  -2.13e-11    13
25    1.00e+00    2.14e-11   1.00e+00  -4.30e-11  -2.16e-11    13
26    1.00e+00    2.17e-11   1.00e+00  -4.36e-11  -2.18e-11    12
27    1.00e+00    2.20e-11   1.00e+00  -4.41e-11  -2.21e-11    13
28    1.00e+00    2.23e-11   1.00e+00  -4.47e-11  -2.24e-11    12
29    1.00e+00    2.26e-11   1.00e+00  -4.53e-11  -2.27e-11    13
30    1.00e+00    2.29e-11   1.00e+00  -4.59e-11  -2.30e-11    12
31    1.00e+00    2.32e-11   1.00e+00  -4.65e-11  -2.33e-11    13
32    1.00e+00    2.35e-11   1.00e+00  -4.72e-11  -2.37e-11    12
33    1.00e+00    2.38e-11   1.00e+00  -4.78e-11  -2.40e-11    13
34    1.00e+00    2.41e-11   1.00e+00  -4.84e-11  -2.43e-11    12
35    1.00e+00    2.45e-11   1.00e+00  -4.91e-11  -2.46e-11    13
36    1.00e+00    2.48e-11   1.00e+00  -4.97e-11  -2.49e-11    13
37    1.00e+00    2.51e-11   1.00e+00  -5.04e-11  -2.53e-11    13
38    1.00e+00    2.55e-11   1.00e+00  -5.11e-11  -2.56e-11    12
39    1.00e+00    2.58e-11   1.00e+00  -5.17e-11  -2.60e-11    13
